Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
1200000.0,Évora,Évora,"Évora (São Mamede, Sé, São Pedro e Santo Antão)",Building,D,,,0.0,,1960.0,495.0,,,False,False,False,20.0,,0.0,,495.0,,,0.0
510000.0,Lisboa,Mafra,Santo Isidoro,House,C,,,1.0,,2003.0,192.0,,2024-07-31 16:27:29.550,False,False,False,,4.0,,,192.0,400.0,230.0,3.0
1300000.0,Évora,Arraiolos,Vimieiro,Farm,F,,,1.0,,2002.0,360.0,,,False,False,False,,,0.0,,500.0,1.0,360.0,0.0
1520000.0,Lisboa,Lisboa,Estrela,Apartment,A,2nd Floor,True,2.0,True,,191.0,,,,,,3.0,,,,191.0,,,0.0
82000.0,Leiria,Caldas da Rainha,Alvorninha,Land,NC,,,0.0,,,28261.0,,2024-10-21 15:20:18.430,False,False,False,,,,,28261.0,28261.0,28261.0,
288000.0,Lisboa,Loures,Santo António dos Cavaleiros e Frielas,Apartment,A+,2nd Floor,True,0.0,False,2022.0,87.0,91.0,,,,,2.0,,,,78.0,,,1.0
190000.0,Porto,Porto,Paranhos,Apartment,C,6th Floor,True,0.0,False,2000.0,46.0,49.0,,,,,1.0,,,,46.0,,,1.0
94900.0,Setúbal,Setúbal,São Sebastião,House,NC,,,0.0,,1951.0,38.0,,,False,False,False,,1.0,0.0,,34.0,,,0.0
398000.0,Setúbal,Sesimbra,Quinta do Conde,House,E,,False,2.0,True,1995.0,315.0,,,,,,3.0,,,,136.0,,,3.0
7000.0,Lisboa,Loures,Lousa,Land,NC,,,0.0,,,5600.0,,2024-09-19 14:26:50.720,False,False,False,,,,,5600.0,5600.0,5600.0,
20000.0,Lisboa,Vila Franca de Xira,Vila Franca de Xira,Land,NC,,False,0.0,False,,450.0,,,,,,,,,,,,,
1250000.0,Lisboa,Oeiras,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Apartment,B-,Basement,True,3.0,True,2005.0,215.0,336.0,,,,,4.0,,,,175.0,,,3.0
7750.0,Faro,Albufeira,Guia,Apartment,B,Ground Floor,True,1.0,True,1989.0,9900.0,,,,,,0.0,,,,33.0,,,1.0
177000.0,Vila Real,Alijó,Vila Chã,House,E,,False,2.0,True,2005.0,795.0,247.0,,,,,5.0,,,,195.0,,,3.0
80000.0,Porto,Felgueiras,Revinhade,Land,NC,,,0.0,,,386.0,,2024-06-11 14:14:54.157,False,False,False,,,,,,800.0,,
220000.0,Castelo Branco,Sertã,Várzea dos Cavaleiros,House,E,,False,1.0,True,1997.0,263.0,,,,,,3.0,,,,263.0,,,3.0
895000.0,Coimbra,Coimbra,Santo António dos Olivais,House,A,,,0.0,,1983.0,222.0,,2024-01-25 10:07:32.843,True,False,True,10.0,5.0,4.0,Like new,200.0,202.0,252.0,4.0
190000.0,Porto,Maia,Águas Santas,Store,D,,True,0.0,False,1991.0,537.0,,,,,,,,,,537.0,,,4.0
80000.0,Faro,Portimão,Mexilhoeira Grande,Land,NC,,False,0.0,False,,143.0,,,,,,,,,,,,,0.0
325000.0,Braga,Braga,"Merelim (São Paio), Panoias e Parada de Tibães",House,A+,,False,2.0,True,,270.0,,,,,,4.0,,,,243.0,,,3.0
320000.0,Braga,Vila Nova de Famalicão,Requião,House,E,,False,1.0,True,1998.0,583.0,,,,,,4.0,,,,394.0,,,2.0
230000.0,Setúbal,Barreiro,"Alto do Seixalinho, Santo André e Verderena",Apartment,B-,3rd Floor,True,0.0,False,2008.0,108.0,102.0,,,,,2.0,,,,102.0,,,1.0
650000.0,Porto,Paredes,Paredes,Land,NC,,,1.0,,,,,,False,False,False,,0.0,0.0,Good condition,,1.0,,0.0
120000.0,Lisboa,Cadaval,Vilar,House,D,,False,0.0,False,1951.0,416.0,94.0,,,,,5.0,,,,71.0,,,1.0
139900.0,Setúbal,Barreiro,Barreiro e Lavradio,Apartment,C,2nd Floor,False,0.0,False,1970.0,60.0,67.0,,,,,2.0,,,,52.0,,,1.0
450000.0,Porto,Marco de Canaveses,Marco,House,E,,False,1.0,True,2005.0,5000.0,232.0,,,,,3.0,,,,110.0,,,3.0
430000.0,Porto,Vila Nova de Gaia,Grijó e Sermonde,House,A,,False,2.0,True,,171.0,,,,,,3.0,,,,171.0,,,4.0
189000.0,Viana do Castelo,Viana do Castelo,Darque,Apartment,A,Ground Floor,True,1.0,True,,72.0,72.0,,,,,2.0,,,,72.0,,,1.0
27500.0,Lisboa,Alenquer,Ventosa,Land,NC,,False,0.0,False,,320.0,204.0,,,,,,,,,,,,0.0
70000.0,Setúbal,Almada,Charneca de Caparica e Sobreda,Land,NC,,,0.0,,,,,2024-03-01 14:53:12.437,False,False,True,,,0.0,,140.0,187.0,,0.0
175000.0,Aveiro,Oliveira de Azeméis,São Roque,House,E,,,0.0,,1978.0,195.0,,,True,False,False,5.0,3.0,1.0,Reasonable,195.0,346.0,224.0,2.0
1290000.0,Lisboa,Lisboa,Campolide,Apartment,A+,2nd Floor,True,2.0,True,2023.0,0.0,230.0,,,,,3.0,,,,152.0,,,4.0
28000.0,Viana do Castelo,Ponte da Barca,"Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães",Land,NC,,False,0.0,False,,1400.0,,,,,,0.0,,,,1400.0,,,0.0
8000.0,Castelo Branco,Sertã,Pedrógão Pequeno,Land,NC,,,0.0,,,8400.0,,2024-01-16 17:38:55.487,False,False,False,,,0.0,,,8400.0,,0.0
390000.0,Lisboa,Cascais,Alcabideche,Apartment,E,,,0.0,,1984.0,88.0,,,False,False,False,4.0,3.0,0.0,Good condition,80.0,,112.0,2.0
60000.0,Portalegre,Portalegre,Ribeira de Nisa e Carreiras,Farm,F,,False,3.0,True,1950.0,1836.0,176.0,,,,,3.0,,,,48.0,,,2.0
165000.0,Lisboa,Vila Franca de Xira,Alverca do Ribatejo e Sobralinho,Apartment,E,3rd Floor,False,0.0,False,1998.0,78.0,,,,,,3.0,,,,96.0,,,2.0
115000.0,Vila Real,Chaves,Calvão e Soutelinho da Raia,House,NC,,False,0.0,False,1937.0,62.0,79.0,,,,,1.0,,,,79.0,,,2.0
94000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Store,B,Ground Floor,True,2.0,True,2014.0,78.0,104.0,,,,,0.0,,,,,,,1.0
232000.0,Lisboa,Lisboa,Arroios,Apartment,E,Basement Level,False,0.0,False,1926.0,0.0,0.0,,,,,1.0,,,,58.0,,,1.0
155000.0,Évora,Reguengos de Monsaraz,Reguengos de Monsaraz,House,F,,,0.0,,1955.0,65.0,,,False,False,False,,2.0,0.0,Like new,65.0,73.0,,1.0
80000.0,Leiria,Alcobaça,São Martinho do Porto,Land,NC,,,0.0,,,,,2024-03-15 18:41:54.883,False,False,False,,,,,,5900.0,,
245000.0,Porto,Póvoa de Varzim,"Póvoa de Varzim, Beiriz e Argivai",Apartment,B,,,0.0,,2012.0,107.0,,,True,True,False,,2.0,0.0,,89.0,,,2.0
98000.0,Vila Real,Vila Real,Mouçós e Lamares,Land,NC,,False,0.0,False,,4800.0,,,,,,,,,,4800.0,,,0.0
640000.0,Faro,Portimão,Alvor,Apartment,A+,,,0.0,,2024.0,140.0,,,True,True,True,3.0,2.0,0.0,New,120.0,,140.0,2.0
170000.0,Porto,Marco de Canaveses,Marco,Store,NC,,False,0.0,False,,126.0,,,,,,,,,,,,,2.0
63500.0,Porto,Matosinhos,"Custóias, Leça do Balio e Guifões",Transfer of lease,C,,False,0.0,False,1998.0,422.0,,,,,,,,,,,,,6.0
48000.0,Santarém,Mação,Amêndoa,Warehouse,NC,,False,0.0,False,1981.0,374.0,374.0,,,,,,,,,374.0,,,2.0
130000.0,Castelo Branco,Proença-a-Nova,Proença-a-Nova e Peral,House,F,,False,3.0,True,1982.0,557.0,503.0,,,,,6.0,,,,267.0,,,4.0
115000.0,Setúbal,Palmela,Quinta do Anjo,Land,NC,,,0.0,,,,,,False,False,False,,,0.0,,,7000.0,,0.0
850000.0,Lisboa,Sintra,São João das Lampas e Terrugem,House,F,,,1.0,,2001.0,273.0,,,False,False,False,5.0,4.0,0.0,,273.0,,,3.0
2250000.0,Lisboa,Lisboa,Campolide,Apartment,A+,Above 10th Floor,False,3.0,True,2023.0,172.0,208.0,,,,,3.0,,,,172.0,,,4.0
96000.0,Braga,Vieira do Minho,Salamonde,Store,NC,,False,1.0,True,,190.0,190.0,,,,,,,,,190.0,,,3.0
180000.0,Bragança,Mogadouro,Bruçó,Land,NC,,,0.0,,,,,2023-12-15 18:06:28.943,False,False,False,,,0.0,,,110000.0,,0.0
49500.0,Braga,Vila Verde,Vila Verde e Barbudo,Land,NC,,False,1.0,True,1937.0,544.0,,,,,,0.0,,,,,,,0.0
69900.0,Guarda,Guarda,Alvendre,Store,B-,,False,0.0,False,,106.0,199.0,,,,,,,,,,,,2.0
281875.0,Porto,Vila Nova de Gaia,Santa Marinha e São Pedro da Afurada,Apartment,B,1st Floor,True,1.0,True,2023.0,95.0,124.0,,,,,2.0,,,,95.0,,,2.0
195000.0,Aveiro,Ílhavo,São Salvador,Apartment,C,,,0.0,,2007.0,132.0,,,True,True,False,3.0,2.0,0.0,Like new,95.0,,,2.0
425000.0,Lisboa,Sintra,"Almargem do Bispo, Pêro Pinheiro e Montelavar",House,NC,,False,2.0,True,1951.0,194.0,,,,,,1.0,,,,200.0,,,3.0
249000.0,Braga,Braga,São Victor,Apartment,B-,,,0.0,,2023.0,73.0,,,False,True,False,3.0,2.0,0.0,New,68.0,73.0,68.0,1.0
50000.0,Vila Real,Peso da Régua,Sedielos,House,F,,False,0.0,False,1939.0,557.0,240.0,,,,,4.0,,,,240.0,,,0.0
240000.0,Lisboa,Sintra,Queluz e Belas,Apartment,C,3rd Floor,True,1.0,True,2002.0,120.0,,,,,,3.0,,,,118.0,,,2.0
8500.0,Coimbra,Miranda do Corvo,Vila Nova,Land,NC,,False,0.0,False,,1320.0,,,,,,,,,,,,,0.0
60484.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Store,NC,2nd Floor,True,1.0,True,2023.0,64.0,,,,,,,,,,,,,0.0
825000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Hotel,B,,,0.0,,2018.0,391.0,,,False,True,False,12.0,,0.0,,,,,12.0
400000.0,Porto,Valongo,Ermesinde,Warehouse,NC,Ground Floor,False,3.0,True,1985.0,2200.0,,,,,,,,,,,,,0.0
465000.0,Porto,Vila Nova de Gaia,Mafamude e Vilar do Paraíso,Apartment,C,,,0.0,,1990.0,171.0,,,True,True,False,5.0,4.0,0.0,Like new,171.0,,183.5,3.0
35000.0,Aveiro,Oliveira do Bairro,Oliveira do Bairro,Land,NC,,False,0.0,False,,2370.0,,,,,,,,,,,,,
590000.0,Lisboa,Vila Franca de Xira,Vila Franca de Xira,Building,D,,,0.0,,1950.0,304.0,,,False,False,False,,,0.0,,304.0,,,0.0
15000.0,Faro,Silves,São Bartolomeu de Messines,Land,NC,,False,0.0,False,,2040.0,2040.0,,,,,,,,,2040.0,,,0.0
76150.0,Castelo Branco,Penamacor,Pedrógão de São Pedro e Bemposta,Land,NC,,False,0.0,False,,4640.0,,,,,,,,,,,,,0.0
365000.0,Leiria,Caldas da Rainha,Caldas da Rainha - Santo Onofre e Serra do Bouro,Apartment,A+,2nd Floor,True,2.0,True,,144.0,220.0,,,,,4.0,,,,144.0,,,3.0
75000.0,Aveiro,Mealhada,Vacariça,Land,NC,,,0.0,,,,,2024-08-27 17:03:02.190,False,False,False,,,0.0,,,14825.0,,0.0
82500.0,Braga,Celorico de Basto,Carvalho e Basto (Santa Tecla),Farm,NC,,,0.0,,,52.0,,,False,False,False,,,0.0,,52.0,10140.0,104.0,0.0
54000.0,Lisboa,Arruda dos Vinhos,Arranhó,Land,NC,,,0.0,,,278.0,,,False,False,False,0.0,,0.0,,278.0,278.0,278.0,0.0
65000.0,Leiria,Nazaré,Valado dos Frades,Land,NC,,False,0.0,False,,1440.0,,,,,,,,,,1440.0,,,0.0
380000.0,Setúbal,Barreiro,"Alto do Seixalinho, Santo André e Verderena",Building,NC,,,0.0,,1937.0,300.0,,,False,False,False,14.0,,4.0,,250.0,151.0,,4.0
360000.0,Lisboa,Cascais,São Domingos de Rana,House,D,,,0.0,,1994.0,112.0,,,True,False,False,4.0,3.0,2.0,,112.0,,112.0,2.0
120000.0,Setúbal,Moita,Moita,Land,NC,,,0.0,,,5227.0,,,False,False,False,,,0.0,,,5227.0,,0.0
950000.0,Braga,Braga,"Nogueira, Fraião e Lamaçães",House,B-,,False,3.0,True,1999.0,1133.0,605.0,,,,,5.0,,,,310.0,,,6.0
999900.0,Porto,Póvoa de Varzim,"Póvoa de Varzim, Beiriz e Argivai",Apartment,E,Above 10th Floor,True,2.0,True,2005.0,155.0,,,,,,3.0,,,,135.0,,,3.0
45000.0,Coimbra,Figueira da Foz,Quiaios,House,NC,,,0.0,,1950.0,89.0,,2024-07-12 17:30:13.020,False,False,False,,3.0,0.0,,89.0,500.0,,1.0
48000.0,Porto,Vila Nova de Gaia,"Sandim, Olival, Lever e Crestuma",Land,NC,,,0.0,,,,,,False,False,False,,,0.0,,,2600.0,,0.0
337000.0,Lisboa,Sintra,Rio de Mouro,Apartment,D,2nd Floor,True,2.0,True,2001.0,120.0,148.0,,,,,3.0,,,,108.0,,,2.0
81000.0,Santarém,Benavente,Benavente,Land,NC,,False,0.0,False,,450.0,,,,,,,,,,,,,0.0
195000.0,Lisboa,Amadora,Mina de Água,Land,NC,,,0.0,,,,,,False,False,False,,,0.0,,,815.0,,0.0
308000.0,Lisboa,Loures,Loures,Apartment,C,,,1.0,,2006.0,120.0,,,False,True,False,3.0,2.0,0.0,Good condition,103.0,,,2.0
350000.0,Leiria,Alcobaça,Cela,House,NC,,False,2.0,True,2021.0,600.0,190.0,,,,,3.0,,,,190.0,,,3.0
76000.0,Leiria,Pombal,Vila Cã,House,NC,,,0.0,,1958.0,63.0,,2024-01-09 19:02:17.540,False,False,False,,3.0,0.0,,63.0,1428.0,63.0,1.0
850000.0,Lisboa,Amadora,Venteira,Building,F,,False,0.0,False,1950.0,274.0,,,,,,,,,,260.0,,,0.0
2950000.0,Lisboa,Torres Vedras,Maxial e Monte Redondo,Farm,D,,,1.0,,,414.0,,,False,False,False,,11.0,0.0,,414.0,123350.0,,8.0
2199000.0,Porto,Porto,"Aldoar, Foz do Douro e Nevogilde",House,A,,True,3.0,True,2022.0,415.0,,,,,,5.0,,,,388.0,,,6.0
125000.0,Braga,Guimarães,Costa,Store,NC,,,0.0,,,47.0,,,True,False,True,,,0.0,,,,,0.0
270000.0,Porto,Vila Nova de Gaia,Pedroso e Seixezelo,Store,B,,,0.0,,,266.0,,,False,False,False,0.0,0.0,0.0,,,266.0,,0.0
144000.0,Porto,Vila Nova de Gaia,"Sandim, Olival, Lever e Crestuma",Land,NC,,,0.0,,,,,,False,False,False,,,0.0,,,1779.0,,0.0
255000.0,Porto,Vila Nova de Gaia,Canelas,Apartment,NC,,,1.0,,,95.0,,,False,True,True,,3.0,0.0,,95.0,,112.51,0.0
185000.0,Faro,Portimão,Portimão,Apartment,F,3rd Floor,False,0.0,False,1985.0,103.0,109.0,,,,,3.0,,,,103.0,,,1.0
150000.0,Beja,Serpa,Serpa (Salvador e Santa Maria),Land,NC,,False,0.0,False,,22200.0,,,,,,,,,,,,,0.0
6000.0,Viana do Castelo,Arcos de Valdevez,Aguiã,Land,NC,,,0.0,,,,,,False,False,False,0.0,,0.0,,,1120.0,,0.0
228000.0,Viana do Castelo,Viana do Castelo,Darque,Apartment,A,3rd Floor,True,1.0,True,,72.0,72.0,,,,,2.0,,,,72.0,,,1.0
290000.0,Aveiro,Aveiro,Glória e Vera Cruz,Apartment,D,,,0.0,,2023.0,104.0,,2024-08-22 18:07:56.167,False,False,False,,3.0,2.0,,121.0,,,2.0
139000.0,Aveiro,São João da Madeira,São João da Madeira,Apartment,F,Ground Floor,False,0.0,False,1989.0,72.0,111.0,,,,,3.0,,,,72.0,,,1.0
2250000.0,Santarém,Santarém,Vale de Santarém,Farm,E,,False,0.0,False,1957.0,260000.0,1335.0,,,,,7.0,,,,443.0,,,6.0
98000.0,Vila Real,Montalegre,Venda Nova e Pondras,Storage,NC,,False,0.0,False,,,,,,,,,,,,,,,0.0
46900.0,Castelo Branco,Castelo Branco,Lardosa,Land,NC,,False,0.0,False,1998.0,747.0,288.0,,,,,,,,,129.0,,,0.0
125000.0,Lisboa,Alenquer,Aldeia Galega da Merceana e Aldeia Gavinha,House,NC,,,0.0,,1951.0,51.0,,2024-06-12 17:33:02.577,False,False,False,2.0,1.0,0.0,,51.0,,,1.0
165000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,House,D,,,0.0,,1988.0,135.0,,,False,False,False,,4.0,3.0,,135.0,,,3.0
70000.0,Beja,Ourique,Ourique,House,F,,,0.0,,1937.0,150.0,,,False,False,False,7.0,3.0,0.0,Needs renovation,150.0,150.0,150.0,1.0
290000.0,Santarém,Tomar,Tomar (São João Baptista) e Santa Maria dos Olivais,Land,NC,,,0.0,,1978.0,8320.0,,,False,False,False,0.0,0.0,,,8320.0,8320.0,8320.0,
266000.0,Setúbal,Palmela,Pinhal Novo,Apartment,B,Ground Floor,True,0.0,False,2022.0,128.0,,,,,,3.0,,,,128.0,,,2.0
310000.0,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,House,NC,,,1.0,,1994.0,50.0,,2024-10-21 14:31:18.437,False,False,False,,3.0,1.0,,50.0,2020.0,,2.0
820000.0,Aveiro,Aveiro,Esgueira,House,A+,,,0.0,,2023.0,327.0,,,False,False,False,,4.0,0.0,,327.0,507.0,,3.0
170000.0,Coimbra,Montemor-o-Velho,Montemor-o-Velho e Gatões,House,NC,,,0.0,,1951.0,150.0,,,False,False,False,8.0,8.0,1.0,Needs renovation,150.0,150.0,,2.0
1950000.0,Setúbal,Setúbal,Azeitão (São Lourenço e São Simão),Farm,C,,False,3.0,True,2023.0,4234.0,352.0,,,,,3.0,,,,312.0,,,6.0
995000.0,Faro,Lagoa (Algarve),Porches,Farm,F,,False,3.0,True,2003.0,20148.0,578.0,,,,,7.0,,,,352.0,,,6.0
170000.0,Santarém,Cartaxo,Ereira e Lapa,House,E,,False,1.0,True,1937.0,787.0,,,,,,3.0,,,,289.0,,,2.0
289900.0,Setúbal,Palmela,Pinhal Novo,House,E,,,1.0,,1980.0,108.0,,2024-06-07 16:23:16.117,False,False,False,,3.0,0.0,,108.0,415.0,108.0,2.0
95000.0,Vila Real,Sabrosa,Covas do Douro,Land,NC,,False,0.0,False,1989.0,2548.0,,,,,,,,,,,,,0.0
90000.0,Porto,Gondomar,"Gondomar (São Cosme), Valbom e Jovim",Store,D,,False,2.0,True,,130.0,,,,,,,,,,,,,0.0
140000.0,Bragança,Macedo de Cavaleiros,Castelãos e Vilar do Monte,House,E,,False,1.0,True,1984.0,100.0,,,,,,3.0,,,,90.0,,,3.0
55000.0,Setúbal,Sesimbra,Quinta do Conde,Land,NC,,False,0.0,False,,141.0,,,,,,,,,,,,,
1050000.0,Vila Real,Santa Marta de Penaguião,Lobrigos (São Miguel e São João Baptista) e Sanhoane,Farm,NC,,,1.0,,,483.0,,2024-02-06 15:47:43.333,False,False,False,,,0.0,,483.0,43714.0,483.6,0.0
46000.0,Coimbra,Figueira da Foz,Maiorca,House,NC,,False,0.0,False,1962.0,189.0,,,,,,2.0,,,,74.0,,,1.0
179000.0,Faro,Portimão,Portimão,Apartment,D,Ground Floor,True,0.0,False,2006.0,50.0,,,,,,1.0,,,,46.0,,,1.0
17000.0,Évora,Mourão,Mourão,Land,NC,,False,0.0,False,,20250.0,,,,,,,,,,,,,
225000.0,Braga,Guimarães,Urgezes,Apartment,NC,2nd Floor,True,1.0,True,2009.0,115.0,,,,,,2.0,,,,115.0,,,2.0
275000.0,Aveiro,Águeda,Barrô e Aguada de Baixo,Store,D,,False,0.0,False,,730.0,369.0,,,,,0.0,,,,,,,0.0
49700.0,Portalegre,Elvas,Santa Eulália,House,E,,False,0.0,False,1951.0,140.0,,,,,,3.0,,,,126.0,,,2.0
340000.0,Braga,Amares,"Ferreiros, Prozelo e Besteiros",Apartment,NC,4th Floor,True,1.0,True,,195.0,,,,,,3.0,,,,121.0,,,2.0
32000.0,Viana do Castelo,Arcos de Valdevez,Gondoriz,Land,NC,,False,0.0,False,1999.0,3570.0,,,,,,,,,,,,,0.0
167500.0,Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Apartment,NC,Ground Floor,False,1.0,True,1981.0,67.0,90.0,,,,,2.0,,,,67.0,,,1.0
315000.0,Lisboa,Lisboa,Arroios,Apartment,C,3rd Floor,False,0.0,False,1985.0,80.0,,,,,,3.0,,,,80.0,,,1.0
110000.0,Coimbra,Montemor-o-Velho,Arazede,Land,NC,,False,0.0,False,,5604.0,,,,,,,,,,,,,0.0
300000.0,Setúbal,Almada,Costa de Caparica,Store,NC,,,0.0,,1988.0,87.0,,,False,False,False,,,1.0,,,,,1.0
30000.0,Faro,Loulé,Boliqueime,Land,NC,,,0.0,,1981.0,1700.0,,,False,False,False,0.0,0.0,0.0,,1700.0,1700.0,,0.0
85000.0,Braga,Guimarães,Pinheiro,Land,NC,,,0.0,,,670.0,,,False,False,False,,,0.0,,340.0,670.0,,0.0
360000.0,Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,Apartment,B-,3rd Floor,True,1.0,True,1993.0,109.0,167.0,,,,,3.0,,,,109.0,,,2.0
388000.0,Leiria,Leiria,"Leiria, Pousos, Barreira e Cortes",Apartment,A,,,1.0,,2024.0,113.0,,2024-04-23 14:48:34.407,False,True,True,,3.0,,,113.0,320.0,225.75,2.0
460000.0,Faro,Faro,Faro (Sé e São Pedro),Land,NC,Ground Floor,False,0.0,False,,83.0,83.0,,,,,,,,,83.0,,,0.0
2700000.0,Setúbal,Almada,Charneca de Caparica e Sobreda,House,C,,,0.0,,2002.0,402.0,,,True,False,True,,7.0,0.0,,390.0,1580.0,,6.0
170000.0,Porto,Matosinhos,"Custóias, Leça do Balio e Guifões",House,E,,False,1.0,True,1951.0,135.0,160.0,,,,,4.0,,,,150.0,,,2.0
649000.0,Aveiro,Santa Maria da Feira,São Miguel do Souto e Mosteirô,House,A+,,False,2.0,True,2004.0,820.0,522.0,,,,,5.0,,,,324.0,,,4.0
85000.0,Santarém,Abrantes,Mouriscas,Farm,E,,False,1.0,True,,1882.0,82.0,,,,,3.0,,,,81.0,,,0.0
425000.0,Faro,Vila Real de Santo António,Monte Gordo,Apartment,D,7th Floor,False,2.0,True,2001.0,112.0,,,,,,3.0,,,,112.0,,,3.0
1390000.0,Faro,Monchique,Monchique,Building,C,,False,0.0,False,1974.0,785.0,,,,,,21.0,,,,917.0,,,
23900.0,Castelo Branco,Penamacor,Penamacor,Farm,NC,,,0.0,,,2240.0,,,False,False,False,,0.0,0.0,,2240.0,2240.0,,0.0
175000.0,Évora,Alandroal,Santiago Maior,Farm,D,,,0.0,,1982.0,97.0,,,True,False,False,5.0,3.0,0.0,Good condition,97.0,2625.0,,1.0
360000.0,Lisboa,Oeiras,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Apartment,C,,,1.0,,1988.0,70.0,,,False,False,False,3.0,2.0,0.0,New,66.0,,75.0,3.0
22500.0,Castelo Branco,Covilhã,Covilhã e Canhoso,Land,NC,,False,0.0,False,,400.0,400.0,,,,,,,,,225.0,,,0.0
3550000.0,Faro,Portimão,Portimão,Warehouse,NC,,False,3.0,True,,5608.0,3252.0,,,,,,,,,,,,1.0
60000.0,Castelo Branco,Covilhã,Tortosendo,House,NC,,,0.0,,1988.0,112.0,,,False,False,False,10.0,3.0,0.0,,112.0,56.0,112.0,2.0
29900.0,Porto,Vila Nova de Gaia,"Sandim, Olival, Lever e Crestuma",Land,NC,,False,0.0,False,,222.0,,,,,,,,,,,,,0.0
219000.0,Coimbra,Figueira da Foz,Buarcos e São Julião,Apartment,B-,2nd Floor,False,0.0,False,2022.0,64.0,,,,,,2.0,,,,64.0,,,1.0
3300000.0,Lisboa,Lisboa,Parque das Nações,Apartment,B,,,0.0,,2022.0,244.0,,,False,True,False,3.0,4.0,0.0,New,195.0,,,2.0
29950.0,Santarém,Torres Novas,"Brogueira, Parceiros de Igreja e Alcorochel",Land,NC,,,0.0,,1970.0,128.0,,,False,False,False,0.0,0.0,0.0,New,128.0,128.0,128.0,0.0
150000.0,Leiria,Alcobaça,Aljubarrota,Land,NC,,False,0.0,False,1957.0,4860.0,,,,,,,,,,,,,0.0
60000.0,Lisboa,Vila Franca de Xira,Vila Franca de Xira,Land,NC,,,0.0,,,,,,False,False,False,,,0.0,,,465.0,,0.0
320000.0,Bragança,Bragança,Samil,House,F,,,0.0,,1995.0,210.0,,,True,False,False,,4.0,0.0,,334.0,4100.0,,3.0
695000.0,Porto,Maia,Cidade da Maia,House,C,,,0.0,,2003.0,291.0,,,True,False,False,9.0,5.0,4.0,Good condition,291.0,542.0,461.87,4.0
